age_group,diet_group,mean_ghgs,mean_land,mean_watscar
60-69,vegan,2.544742697,4.954883272,12116.35479
70-79,vegan,2.891262237,5.543939326,13317.10297
20-29,vegan,3.516006155,6.450784159,14150.58836
30-39,vegan,3.064527676,5.363773449,12161.56979
40-49,vegan,3.007905304,5.284517013,11138.69061
50-59,vegan,2.523467885,4.853550556,10643.44244
60-69,vegan,2.559501083,5.44253516,13985.10642
70-79,vegan,2.638830904,5.361587724,12064.34906
20-29,veggie,3.71524717,5.479583944,12567.51341
30-39,veggie,3.760672098,5.606066728,12816.27422
40-49,veggie,3.761512202,5.693713313,13009.51089
50-59,veggie,3.709519041,5.725597588,13548.08933
60-69,veggie,3.928710599,6.114447032,14597.04286
70-79,veggie,4.049829188,6.604044626,15614.76403
20-29,veggie,5.486087105,7.695460767,16796.84259
30-39,veggie,5.262402707,7.502069152,15765.11127
40-49,veggie,4.894059308,7.287990251,15334.87235
50-59,veggie,4.498787214,7.024694299,14504.25592
60-69,veggie,4.473776754,7.240406401,15473.00212
70-79,veggie,4.723950624,7.912540567,17928.27989
20-29,fish,5.20206397,5.774461555,16536.17475
30-39,fish,5.264853215,5.835550859,16877.56295
40-49,fish,5.226023333,5.815015843,16409.00793
50-59,fish,5.175499854,5.827004349,16424.69993
60-69,fish,5.59887864,6.376715536,17822.03336
70-79,fish,5.542715314,6.563526232,19035.06713
20-29,fish,7.252852684,8.092553864,23005.00518
30-39,fish,6.621839579,7.391222664,21163.46592
40-49,fish,6.264527033,7.119958494,19212.4376
50-59,fish,6.2813485,6.917249184,18266.1773
60-69,fish,6.370563237,7.549998709,20078.18773
70-79,fish,6.413380229,7.832264988,21428.48616
20-29,meat100,13.51282094,29.32766835,23837.52644
30-39,meat100,13.91642861,30.42929647,23327.69659
40-49,meat100,15.44828804,35.28340742,22138.86327
50-59,meat100,15.92030214,36.67301873,21816.43617
60-69,meat100,16.08540276,37.14271873,22159.84241
70-79,meat100,17.48912849,41.09195837,23973.5149
20-29,meat100,19.07743537,42.15661276,35026.12813
30-39,meat100,16.86975734,36.64375612,29124.8636
40-49,meat100,17.00971972,38.15050245,26179.29841
50-59,meat100,17.44834081,39.5064749,26290.48421
60-69,meat100,16.99858914,38.28510281,25854.49636
70-79,meat100,19.47022229,45.68904505,26311.0599
20-29,meat50,5.535783521,7.678797896,15891.67327
30-39,meat50,5.661191469,7.675837063,16096.25177
40-49,meat50,5.716062502,7.977876745,15552.32037
50-59,meat50,5.792059677,8.132512158,15308.31952
60-69,meat50,6.028926893,8.459647201,16295.50635
70-79,meat50,6.079621022,8.729870891,16742.28428
20-29,meat50,6.85939609,9.457234779,19493.76963
30-39,meat50,7.008721725,9.499352668,20696.88936
40-49,meat50,6.857127233,9.340985914,19046.79989
50-59,meat50,6.755592118,9.421878477,17545.45518
60-69,meat50,6.581031238,9.563494638,17244.46589
70-79,meat50,7.101214258,10.29835001,18112.56764
20-29,meat,7.518886594,12.73825834,18535.8142
